property_id,city,zone,property_type,bedrooms,bathrooms,size_sqm,year_built,age_years,condition,parking_spaces,price_million_naira
NG1000,Lagos,Lekki,Bungalow,2,2,139,2022,2,Good,0,48.1
NG1001,Lagos,Lekki,Flat,2,2,139,2022,2,Good,2,30.72
NG1002,Kano,Tarauni,Flat,3,2,158,2011,13,Good,1,7.29
NG1003,Ibadan,Bodija,Bungalow,4,3,255,2019,5,Fair,2,14.32
NG1004,Ibadan,Bodija,Semi-Detached,5,4,299,2007,17,Fair,0,26.27
NG1005,Port Harcourt,GRA Phase 1,Duplex,3,2,203,2010,14,New,1,73.42
NG1006,Port Harcourt,Old GRA,Flat,4,4,229,2017,7,Good,1,44.62
NG1007,Kano,Bompai,Bungalow,,2,170,2017,7,New,1,9.94
NG1008,Kano,Sharada,Bungalow,5,4,303,2009,15,Good,1,13.78
NG1009,Kano,Kabuga,Bungalow,4,3,222,2009,15,Needs Renovation,2,7.58
NG1010,Lagos,Lekki,Duplex,5,4,288,2017,7,Good,2,134.69
NG1011,Ibadan,Agodi,Bungalow,5,5,358,2013,11,New,1,26.41
NG1012,Ibadan,Jericho,Detached House,2,2,125,2014,10,New,2,34.75
NG1013,Abuja,Gwarinpa,Duplex,4,3,212,2008,16,New,1,161.02
NG1014,Port Harcourt,GRA Phase 2,Flat,4,4,220,2007,17,Good,2,37.68
NG1015,Abuja,Jabi,Detached House,2,1,167,2022,2,Good,1,-5.0
NG1016,Ibadan,Oluyole,Bungalow,4,3,193,2012,12,Needs Renovation,0,10.93
NG1017,Kano,Kabuga,Duplex,1,1,74,2012,12,Good,0,12.98
NG1018,Port Harcourt,GRA Phase 1,Semi-Detached,2,1,161,2009,15,Good,2,42.77
NG1019,Abuja,Wuse II,Detached House,1,1,121,2016,8,Good,2,63.91
NG1020,Lagos,Ajah,Flat,3,2,203,2012,12,New,1,43.97
NG1021,Ibadan,Jericho,Detached House,2,1,103,2019,5,Good,2,23.11
NG1022,Kano,Nassarawa,Flat,2,1,171,2011,13,Good,2,8.06
NG1023,Abuja,Wuse II,Flat,2,1,152,2022,2,good,2,17.86
NG1024,Port Harcourt,GRA Phase 2,Flat,3,3,179,2021,3,New,2,33.98
NG1025,Kano,Nassarawa,Duplex,4,4,264,2017,7,New,0,35.65
NG1026,Kano,Bompai,Semi-Detached,4,4,268,2015,9,New,1,21.97
NG1027,Port Harcourt,GRA Phase 2,Bungalow,2,1,148,2007,17,Needs Renovation,0,16.0
NG1028,Kano,Nassarawa,Flat,4,3,210,2007,17,Good,1,9.63
NG1029,Abuja,Wuse II,Semi-Detached,4,4,304,2014,10,Fair,0,88.11
NG1030,Abuja,Gwarinpa,Flat,4,4,218,2011,13,New,1,57.84
NG1031,Port Harcourt,D-Line,Detached House,1,1,,2013,11,Fair,0,25.66
NG1032,Abuja,Jabi,Bungalow,3,2,167,2008,16,Good,0,67.13
NG1033,Abuja,Garki,Flat,4,4,218,2006,18,Fair,1,35.69
NG1034,Lagos,Surulere,Duplex,5,5,292,2009,15,Good,1,139.05
NG1035,Abuja,Wuse II,Flat,3,2,221,2013,11,Good,1,49.74
NG1036,Lagos,Ikeja,Flat,2,2,190,2016,8,Needs Renovation,1,20.61
NG1037,Abuja,Asokoro,Flat,3,2,147,2013,11,Good,1,47.05
NG1038,Ibadan,Oluyole,Semi-Detached,1,1,106,2010,14,Fair,2,12.39
NG1039,Port Harcourt,GRA Phase 1,Flat,3,2,219,2008,16,Needs Renovation,2,18.17
NG1040,Abuja,Gwarinpa,Flat,1,1,111,2007,17,Needs Renovation,1,14.17
NG1041,Lagos,Ajah,Bungalow,5,4,286,2014,10,Fair,2,49.23
NG1042,Ibadan,Oluyole,Detached House,4,3,268,2005,19,Good,1,34.14
NG1043,Ibadan,Agodi,Semi-Detached,3,2,184,2021,3,Fair,2,22.01
NG1044,Abuja,Jabi,Flat,4,,188,2014,10,Fair,1,45.82
NG1045,Abuja,Maitama,Flat,3,3,210,2023,1,Good,1,52.72
NG1046,Ibadan,Iyaganku,Detached House,2,2,149,2018,6,Good,1,23.81
NG1047,Kano,Fagge,Flat,1,1,108,2021,3,Good,2,5.76
