property_id,city,zone,property_type,bedrooms,bathrooms,size_sqm,year_built,age_years,condition,parking_spaces,price_million_naira,price_per_sqm
NG1000,Lagos,Lekki,Bungalow,2.0,2.0,139.0,2022,2,good,0,48.1,346.04
NG1001,Lagos,Lekki,Flat,2.0,2.0,139.0,2022,2,good,2,30.72,221.01
NG1002,Kano,Tarauni,Flat,3.0,2.0,158.0,2011,13,good,1,7.29,46.14
NG1003,Ibadan,Bodija,Bungalow,4.0,3.0,255.0,2019,5,fair,2,14.32,56.16
NG1004,Ibadan,Bodija,Semi-Detached,5.0,4.0,299.0,2007,17,fair,0,26.27,87.86
NG1005,Port Harcourt,GRA Phase 1,Duplex,3.0,2.0,203.0,2010,14,new,1,73.42,361.67
NG1006,Port Harcourt,Old GRA,Flat,4.0,4.0,229.0,2017,7,good,1,44.62,194.85
NG1007,Kano,Bompai,Bungalow,,2.0,170.0,2017,7,new,1,9.94,58.47
NG1008,Kano,Sharada,Bungalow,5.0,4.0,303.0,2009,15,good,1,13.78,45.48
NG1009,Kano,Kabuga,Bungalow,4.0,3.0,222.0,2009,15,needs renovation,2,7.58,34.14
NG1010,Lagos,Lekki,Duplex,5.0,4.0,288.0,2017,7,good,2,134.69,467.67
NG1011,Ibadan,Agodi,Bungalow,5.0,5.0,358.0,2013,11,new,1,26.41,73.77
NG1012,Ibadan,Jericho,Detached House,2.0,2.0,125.0,2014,10,new,2,34.75,278.0
NG1013,Abuja,Gwarinpa,Duplex,4.0,3.0,212.0,2008,16,new,1,161.02,759.53
NG1014,Port Harcourt,GRA Phase 2,Flat,4.0,4.0,220.0,2007,17,good,2,37.68,171.27
NG1016,Ibadan,Oluyole,Bungalow,4.0,3.0,193.0,2012,12,needs renovation,0,10.93,56.63
NG1017,Kano,Kabuga,Duplex,1.0,1.0,74.0,2012,12,good,0,12.98,175.41
NG1018,Port Harcourt,GRA Phase 1,Semi-Detached,2.0,1.0,161.0,2009,15,good,2,42.77,265.65
NG1019,Abuja,Wuse II,Detached House,1.0,1.0,121.0,2016,8,good,2,63.91,528.18
NG1020,Lagos,Ajah,Flat,3.0,2.0,203.0,2012,12,new,1,43.97,216.6
